recruitment_id,employee_id,hiring_source,recruiter_name,time_to_hire_days,interview_rounds,hiring_cost,offer_accepted
REC00199,EMP00199,LinkedIn,Kavya Reddy,33,1,17065,1
REC00200,EMP00200,Naukri,Amit Joshi,19,3,14441,0
REC00201,EMP00201,Consultancy,Pooja Sharma,27,2,56732,1
REC00202,EMP00202,LinkedIn,Rajan Mehta,23,2,16053,1
REC00203,EMP00203,Naukri,Kavya Reddy,20,2,15816,1
REC00204,EMP00204,Employee Referral,Pooja Sharma,32,3,8534,1
REC00205,EMP00205,LinkedIn,Kavya Reddy,14,2,15520,1
REC00206,EMP00206,LinkedIn,Rajan Mehta,33,5,19450,1
REC00207,EMP00207,Campus Hiring,Amit Joshi,21,5,5252,1
REC00208,EMP00208,Campus Hiring,Meenakshi Iyer,53,3,13383,1
REC00209,EMP00209,Naukri,Sunita Arora,60,2,10494,0
REC00210,EMP00210,Naukri,Amit Joshi,37,2,17474,1
REC00211,EMP00211,Campus Hiring,Sunita Arora,37,5,10318,1
REC00212,EMP00212,Consultancy,Kavya Reddy,46,3,29175,0
REC00213,EMP00213,Campus Hiring,Amit Joshi,10,5,13344,1
REC00214,EMP00214,Consultancy,Tanu Kapoor,7,4,56686,1
REC00215,EMP00215,Naukri,Rajan Mehta,33,4,13847,0
REC00216,EMP00216,Employee Referral,Pooja Sharma,9,1,7254,1
REC00217,EMP00217,Campus Hiring,Pooja Sharma,38,5,7889,1
REC00218,EMP00218,Naukri,Tanu Kapoor,30,1,16675,1
REC00219,EMP00219,Employee Referral,Amit Joshi,22,3,3481,1
REC00220,EMP00220,Campus Hiring,Meenakshi Iyer,59,1,6748,0
REC00221,EMP00221,Employee Referral,Meenakshi Iyer,36,4,8238,1
REC00222,EMP00222,Naukri,Kavya Reddy,23,2,14092,1
REC00223,EMP00223,Campus Hiring,Amit Joshi,12,3,9417,1
REC00224,EMP00224,Employee Referral,Pradeep Nair,26,4,5765,1
REC00225,EMP00225,Consultancy,Pradeep Nair,18,3,45014,1
REC00226,EMP00226,Consultancy,Kavya Reddy,16,5,74827,1
REC00227,EMP00227,Employee Referral,Meenakshi Iyer,43,5,7463,1
REC00228,EMP00228,Employee Referral,Vikash Gupta,51,2,7952,1
REC00229,EMP00229,LinkedIn,Pooja Sharma,32,1,17379,1
REC00230,EMP00230,Employee Referral,Sunita Arora,25,1,5729,1
REC00231,EMP00231,Consultancy,Kavya Reddy,8,4,65445,1
REC00232,EMP00232,Employee Referral,Meenakshi Iyer,28,3,3180,1
REC00233,EMP00233,Naukri,Pooja Sharma,58,1,7841,0
REC00234,EMP00234,Employee Referral,Kavya Reddy,60,2,9599,0
REC00235,EMP00235,LinkedIn,Vikash Gupta,34,4,19171,1
REC00236,EMP00236,Employee Referral,Tanu Kapoor,50,3,8125,1
REC00237,EMP00237,LinkedIn,Tanu Kapoor,56,3,20670,1
REC00238,EMP00238,Naukri,Rajan Mehta,17,4,6341,0
REC00239,EMP00239,Naukri,Vikash Gupta,17,3,10884,1
REC00240,EMP00240,Indeed,Tanu Kapoor,51,3,14249,1
REC00241,EMP00241,Naukri,Sunita Arora,15,3,13628,1
REC00242,EMP00242,Naukri,Rajan Mehta,49,2,11454,1
REC00243,EMP00243,Employee Referral,Amit Joshi,60,1,9543,1
REC00244,EMP00244,LinkedIn,Meenakshi Iyer,54,4,20651,1
REC00245,EMP00245,LinkedIn,Suresh Pillai,24,2,23180,1
REC00246,EMP00246,Campus Hiring,Pooja Sharma,29,1,14050,0
REC00247,EMP00247,Campus Hiring,Suresh Pillai,36,5,11859,0
REC00248,EMP00248,LinkedIn,Meenakshi Iyer,28,5,10254,1
REC00249,EMP00249,Naukri,Kavya Reddy,36,2,13919,1
REC00250,EMP00250,Indeed,Sunita Arora,29,1,8340,1
REC00251,EMP00251,LinkedIn,Vikash Gupta,59,1,11666,1
REC00252,EMP00252,Indeed,Pradeep Nair,33,2,6299,0
REC00253,EMP00253,LinkedIn,Vikash Gupta,29,4,22997,1
REC00254,EMP00254,LinkedIn,Kavya Reddy,52,2,15371,0
REC00255,EMP00255,Consultancy,Amit Joshi,23,2,61739,1
REC00256,EMP00256,Employee Referral,Pooja Sharma,48,4,5031,1
REC00257,EMP00257,Naukri,Kavya Reddy,8,3,8369,1
REC00258,EMP00258,LinkedIn,Rajan Mehta,54,5,21026,1
REC00259,EMP00259,Consultancy,Sunita Arora,48,5,56847,1
REC00260,EMP00260,Employee Referral,Pradeep Nair,12,3,7676,1
REC00261,EMP00261,Naukri,Kavya Reddy,34,4,7871,1
REC00262,EMP00262,Employee Referral,Sunita Arora,49,3,9438,1
REC00263,EMP00263,LinkedIn,Tanu Kapoor,25,1,21564,1
REC00264,EMP00264,Campus Hiring,Sunita Arora,60,5,7297,1
REC00265,EMP00265,Indeed,Pradeep Nair,24,2,11087,1
REC00266,EMP00266,Naukri,Meenakshi Iyer,38,3,12699,1
REC00267,EMP00267,Employee Referral,Meenakshi Iyer,27,2,5688,1
REC00268,EMP00268,Employee Referral,Rajan Mehta,28,2,6052,1
REC00269,EMP00269,Employee Referral,Sunita Arora,39,5,5408,1
REC00270,EMP00270,Employee Referral,Amit Joshi,12,1,6796,0
REC00271,EMP00271,Indeed,Pradeep Nair,34,4,6649,1
REC00272,EMP00272,Naukri,Tanu Kapoor,28,5,10826,1
REC00273,EMP00273,Naukri,Tanu Kapoor,12,2,15341,0
REC00274,EMP00274,Naukri,Suresh Pillai,58,2,6327,1
REC00275,EMP00275,Employee Referral,Sunita Arora,32,2,6586,0
REC00276,EMP00276,Consultancy,Rajan Mehta,28,5,64127,1
REC00277,EMP00277,Indeed,Vikash Gupta,33,1,14399,1
REC00278,EMP00278,Consultancy,Amit Joshi,58,5,74925,1
REC00279,EMP00279,Consultancy,Vikash Gupta,18,2,35373,1
REC00280,EMP00280,Consultancy,Rajan Mehta,13,3,64762,1
REC00281,EMP00281,Naukri,Meenakshi Iyer,37,1,13942,1
REC00282,EMP00282,Campus Hiring,Tanu Kapoor,10,1,14477,1
REC00283,EMP00283,Indeed,Suresh Pillai,13,1,5527,1
REC00284,EMP00284,LinkedIn,Sunita Arora,49,3,14576,1
REC00285,EMP00285,Consultancy,Kavya Reddy,11,5,54385,1
REC00286,EMP00286,Employee Referral,Vikash Gupta,18,1,6738,1
REC00287,EMP00287,Campus Hiring,Pooja Sharma,59,2,8635,1
REC00288,EMP00288,LinkedIn,Vikash Gupta,50,4,21698,1
REC00289,EMP00289,Employee Referral,Vikash Gupta,37,1,5926,0
REC00290,EMP00290,LinkedIn,Kavya Reddy,58,5,23053,1
REC00291,EMP00291,LinkedIn,Vikash Gupta,35,5,24825,0
REC00292,EMP00292,Naukri,Pooja Sharma,38,3,10930,1
REC00293,EMP00293,LinkedIn,Vikash Gupta,50,5,9567,1
REC00294,EMP00294,Consultancy,Meenakshi Iyer,22,3,71210,1
REC00295,EMP00295,Employee Referral,Rajan Mehta,40,3,3940,1
REC00296,EMP00296,LinkedIn,Kavya Reddy,31,2,21797,0
REC00297,EMP00297,LinkedIn,Amit Joshi,38,5,20896,0
REC00298,EMP00298,Consultancy,Rajan Mehta,13,4,56372,1
REC00299,EMP00299,Consultancy,Amit Joshi,29,4,40231,1
REC00300,EMP00300,Consultancy,Meenakshi Iyer,37,5,69176,0
REC00301,EMP00301,LinkedIn,Vikash Gupta,19,2,15984,1
REC00302,EMP00302,LinkedIn,Vikash Gupta,31,1,14621,0
REC00303,EMP00303,Naukri,Amit Joshi,10,2,11268,1
REC00304,EMP00304,LinkedIn,Vikash Gupta,7,4,13652,0
REC00305,EMP00305,LinkedIn,Tanu Kapoor,9,2,15737,0
REC00306,EMP00306,Employee Referral,Pooja Sharma,42,1,4951,1
REC00307,EMP00307,LinkedIn,Pooja Sharma,12,5,9622,1
REC00308,EMP00308,LinkedIn,Rajan Mehta,33,1,10793,1
REC00309,EMP00309,Campus Hiring,Pooja Sharma,44,5,11014,1
REC00310,EMP00310,Indeed,Meenakshi Iyer,55,4,11616,0
REC00311,EMP00311,Employee Referral,Suresh Pillai,28,1,4760,1
REC00312,EMP00312,Employee Referral,Vikash Gupta,57,5,7380,0
REC00313,EMP00313,Indeed,Vikash Gupta,47,2,7197,1
REC00314,EMP00314,Employee Referral,Kavya Reddy,51,5,9689,1
REC00315,EMP00315,Campus Hiring,Suresh Pillai,41,5,11586,1
REC00316,EMP00316,Indeed,Pradeep Nair,60,3,11305,1
REC00317,EMP00317,LinkedIn,Tanu Kapoor,53,3,8315,1
REC00318,EMP00318,Consultancy,Suresh Pillai,29,4,36039,1
REC00319,EMP00319,Employee Referral,Tanu Kapoor,37,3,5715,1
REC00320,EMP00320,Consultancy,Sunita Arora,60,5,61991,1
REC00321,EMP00321,Naukri,Meenakshi Iyer,54,2,11687,1
REC00322,EMP00322,Employee Referral,Amit Joshi,35,5,8986,1
REC00323,EMP00323,LinkedIn,Pradeep Nair,44,5,22831,0
REC00324,EMP00324,Employee Referral,Amit Joshi,25,3,3033,0
REC00325,EMP00325,Indeed,Kavya Reddy,38,1,13064,0
REC00326,EMP00326,Consultancy,Meenakshi Iyer,31,5,31356,1
REC00327,EMP00327,Indeed,Pooja Sharma,18,2,6023,1
REC00328,EMP00328,Indeed,Tanu Kapoor,55,1,10807,1
REC00329,EMP00329,Campus Hiring,Kavya Reddy,55,1,8622,1
REC00330,EMP00330,Consultancy,Suresh Pillai,54,1,71699,1
REC00331,EMP00331,Naukri,Pooja Sharma,55,1,7543,1
REC00332,EMP00332,Indeed,Rajan Mehta,23,2,6791,1
REC00333,EMP00333,Consultancy,Kavya Reddy,41,2,71986,1
REC00334,EMP00334,LinkedIn,Pradeep Nair,56,5,10189,0
REC00335,EMP00335,Consultancy,Sunita Arora,49,5,69931,1
REC00336,EMP00336,Consultancy,Sunita Arora,58,2,78509,1
REC00337,EMP00337,Employee Referral,Meenakshi Iyer,59,2,9103,1
REC00338,EMP00338,Consultancy,Tanu Kapoor,41,1,58029,1
REC00339,EMP00339,Consultancy,Vikash Gupta,15,3,51050,0
REC00340,EMP00340,Campus Hiring,Sunita Arora,44,4,8863,1
REC00341,EMP00341,Indeed,Sunita Arora,29,2,14037,0
REC00342,EMP00342,Campus Hiring,Pooja Sharma,56,4,10700,1
REC00343,EMP00343,Naukri,Meenakshi Iyer,41,5,6315,0
REC00344,EMP00344,Employee Referral,Tanu Kapoor,17,2,4353,0
REC00345,EMP00345,Employee Referral,Amit Joshi,35,4,6461,0
REC00346,EMP00346,Employee Referral,Kavya Reddy,46,5,3465,1
REC00347,EMP00347,LinkedIn,Vikash Gupta,16,3,18766,1
REC00348,EMP00348,LinkedIn,Pooja Sharma,14,3,15134,1
REC00349,EMP00349,Consultancy,Sunita Arora,45,2,72477,1
REC00350,EMP00350,Employee Referral,Sunita Arora,8,4,7925,0
REC00351,EMP00351,Employee Referral,Vikash Gupta,44,3,9127,1
REC00352,EMP00352,LinkedIn,Amit Joshi,16,1,21799,0
REC00353,EMP00353,Consultancy,Kavya Reddy,13,1,36026,1
REC00354,EMP00354,Naukri,Amit Joshi,40,3,14489,1
REC00355,EMP00355,Employee Referral,Meenakshi Iyer,13,5,9653,1
REC00356,EMP00356,Consultancy,Vikash Gupta,36,5,42804,1
REC00357,EMP00357,Consultancy,Tanu Kapoor,12,4,66950,1
REC00358,EMP00358,Indeed,Amit Joshi,28,1,12568,1
REC00359,EMP00359,LinkedIn,Suresh Pillai,49,5,10572,1
REC00360,EMP00360,Naukri,Amit Joshi,37,2,10385,1
REC00361,EMP00361,Indeed,Rajan Mehta,29,4,9625,1
REC00362,EMP00362,Naukri,Rajan Mehta,33,3,8612,1
REC00363,EMP00363,Consultancy,Meenakshi Iyer,22,5,27449,1
REC00364,EMP00364,Campus Hiring,Suresh Pillai,39,1,9630,1
REC00365,EMP00365,LinkedIn,Suresh Pillai,41,5,14907,1
REC00366,EMP00366,Consultancy,Pradeep Nair,35,3,45695,1
REC00367,EMP00367,LinkedIn,Suresh Pillai,56,2,24399,1
REC00368,EMP00368,Employee Referral,Meenakshi Iyer,16,1,9737,1
REC00369,EMP00369,LinkedIn,Vikash Gupta,8,2,10798,1
REC00370,EMP00370,Employee Referral,Pradeep Nair,9,1,9234,1
REC00371,EMP00371,Naukri,Amit Joshi,55,3,16772,1
REC00372,EMP00372,LinkedIn,Sunita Arora,41,3,24493,1
REC00373,EMP00373,Naukri,Meenakshi Iyer,39,2,8035,0
REC00374,EMP00374,Consultancy,Pradeep Nair,15,4,56748,0
REC00375,EMP00375,LinkedIn,Rajan Mehta,25,4,16268,1
REC00376,EMP00376,LinkedIn,Pradeep Nair,31,5,15011,0
REC00377,EMP00377,LinkedIn,Meenakshi Iyer,42,3,21003,1
REC00378,EMP00378,Campus Hiring,Rajan Mehta,18,2,7890,1
REC00379,EMP00379,Consultancy,Suresh Pillai,27,3,30655,1
REC00380,EMP00380,LinkedIn,Meenakshi Iyer,58,3,17674,1
REC00381,EMP00381,LinkedIn,Amit Joshi,35,2,21124,1
REC00382,EMP00382,LinkedIn,Rajan Mehta,26,5,14590,0
REC00383,EMP00383,Employee Referral,Pradeep Nair,48,5,6057,1
REC00384,EMP00384,Employee Referral,Kavya Reddy,11,1,5279,1
REC00385,EMP00385,Indeed,Kavya Reddy,27,4,14894,1
REC00386,EMP00386,Consultancy,Vikash Gupta,54,1,61317,1
REC00387,EMP00387,Campus Hiring,Tanu Kapoor,29,5,10901,1
REC00388,EMP00388,Naukri,Pooja Sharma,51,5,9666,0
REC00389,EMP00389,Naukri,Vikash Gupta,31,5,12655,1
REC00390,EMP00390,Naukri,Pooja Sharma,7,5,12236,0
REC00391,EMP00391,LinkedIn,Vikash Gupta,22,3,21613,1
